ROUND,total_ants,alive_ants,dead_ants,black_ants_alive,red_ants_alive,worker_ants_alive,soldier_ants_alive,queen_ants_alive,black_ants_dead,red_ants_dead,worker_ants_dead,solder_ants_dead,queen_ants_dead,avg_health,avg_speed,avg_damage
0,116,116,0,77,39,114,0,2,0,0,0,0,0,47.41379310344828,3.293103448275862,12.155172413793103
20,160,151,9,95,56,143,6,2,2,7,9,0,0,47.63576158940398,3.410596026490066,12.483443708609272
40,164,148,16,95,53,140,6,2,6,10,16,0,0,49.513513513513516,3.3986486486486487,12.432432432432432
60,164,140,24,93,47,133,5,2,8,16,23,1,0,52.74285714285714,3.3642857142857143,12.307142857142857
80,196,166,30,121,45,158,6,2,12,18,28,2,0,51.93975903614458,3.2951807228915664,11.903614457831326
100,196,159,37,119,40,152,5,2,14,23,34,3,0,48.25157232704402,3.2641509433962264,11.786163522012579
120,208,147,61,117,30,141,4,2,28,33,57,4,0,49.31292517006803,3.204081632653061,11.54421768707483
140,208,136,72,108,28,130,4,2,37,35,68,4,0,49.88235294117647,3.2058823529411766,11.595588235294118
160,216,135,81,100,35,128,5,2,45,36,77,4,0,48.2,3.274074074074074,11.91851851851852
180,224,134,90,94,40,123,9,2,51,39,86,4,0,44.61940298507463,3.3582089552238807,12.298507462686567
